report_year,codmun,state,namemun,faction,faction_full_name,alignment_states,pcc_aligned,cv_aligned,alignment_justification
2023,1100205,Rondônia,Porto Velho,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1100205,Rondônia,Porto Velho,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1100288,Rondônia,Rolim de Moura,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1100304,Rondônia,Vilhena,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1100338,Rondônia,Nova Mamoré,PCP,Primeiro Comando Panda,"RO, RR",1,0,"Local faction from Rondônia. Present in Alta Floresta d'Oeste, Nova Mamoré, Novo Horizonte do Oeste, and São Francisco do Guaporé (2023). The 2025 edition explicitly states PCP was no longer detected."
2023,1100346,Rondônia,Alvorada d'Oeste,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1100379,Rondônia,Alto Alegre do Pareci,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1100502,Rondônia,Novo Horizonte do Oeste,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1100502,Rondônia,Novo Horizonte do Oeste,PCP,Primeiro Comando Panda,"RO, RR",1,0,"Local faction from Rondônia. Present in Alta Floresta d'Oeste, Nova Mamoré, Novo Horizonte do Oeste, and São Francisco do Guaporé (2023). The 2025 edition explicitly states PCP was no longer detected."
2023,1100700,Rondônia,Campo Novo de Rondônia,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1100924,Rondônia,Chupinguaia,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1100924,Rondônia,Chupinguaia,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1101005,Rondônia,Governador Jorge Teixeira,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1101468,Rondônia,Pimenteiras do Oeste,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1101476,Rondônia,Primavera de Rondônia,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1101492,Rondônia,São Francisco do Guaporé,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1101492,Rondônia,São Francisco do Guaporé,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1101492,Rondônia,São Francisco do Guaporé,PCP,Primeiro Comando Panda,"RO, RR",1,0,"Local faction from Rondônia. Present in Alta Floresta d'Oeste, Nova Mamoré, Novo Horizonte do Oeste, and São Francisco do Guaporé (2023). The 2025 edition explicitly states PCP was no longer detected."
2023,1101500,Rondônia,Seringueiras,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1101500,Rondônia,Seringueiras,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1200013,Acre,Acrelândia,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200054,Acre,Assis Brasil,B13,Bonde dos 13,"AC, PA",1,0,"Local faction originating from Acre. Allied with PCC in the inter-state prison network connecting AC, AP, and PA throughout 2022–2024: the 2024 edition states 'B13 and PCC are allies in the state' of Acre. Present in 5 AC municipalities (Assis Brasil, Brasiléia, Epitaciolândia, Rio Branco, Sena Madureira) in 2025."
2023,1200054,Acre,Assis Brasil,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200104,Acre,Brasiléia,B13,Bonde dos 13,"AC, PA",1,0,"Local faction originating from Acre. Allied with PCC in the inter-state prison network connecting AC, AP, and PA throughout 2022–2024: the 2024 edition states 'B13 and PCC are allies in the state' of Acre. Present in 5 AC municipalities (Assis Brasil, Brasiléia, Epitaciolândia, Rio Branco, Sena Madureira) in 2025."
2023,1200104,Acre,Brasiléia,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200138,Acre,Bujari,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200138,Acre,Bujari,Ifara,Ifara,Acre,0,0,No explicit PCC or CV alliance coded in the source workbook.
2023,1200179,Acre,Capixaba,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200203,Acre,Cruzeiro do Sul,B13,Bonde dos 13,"AC, PA",1,0,"Local faction originating from Acre. Allied with PCC in the inter-state prison network connecting AC, AP, and PA throughout 2022–2024: the 2024 edition states 'B13 and PCC are allies in the state' of Acre. Present in 5 AC municipalities (Assis Brasil, Brasiléia, Epitaciolândia, Rio Branco, Sena Madureira) in 2025."
2023,1200203,Acre,Cruzeiro do Sul,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200252,Acre,Epitaciolândia,B13,Bonde dos 13,"AC, PA",1,0,"Local faction originating from Acre. Allied with PCC in the inter-state prison network connecting AC, AP, and PA throughout 2022–2024: the 2024 edition states 'B13 and PCC are allies in the state' of Acre. Present in 5 AC municipalities (Assis Brasil, Brasiléia, Epitaciolândia, Rio Branco, Sena Madureira) in 2025."
2023,1200252,Acre,Epitaciolândia,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1200302,Acre,Feijó,Deus Morte,Deus da Morte,AC,0,0,Appeared in the 2023 edition alongside PCC in two Acre municipalities: Feijó and Sena Madureira.
2023,1200302,Acre,Feijó,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1200328,Acre,Jordão,B13,Bonde dos 13,"AC, PA",1,0,"Local faction originating from Acre. Allied with PCC in the inter-state prison network connecting AC, AP, and PA throughout 2022–2024: the 2024 edition states 'B13 and PCC are allies in the state' of Acre. Present in 5 AC municipalities (Assis Brasil, Brasiléia, Epitaciolândia, Rio Branco, Sena Madureira) in 2025."
2023,1200328,Acre,Jordão,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200336,Acre,Mâncio Lima,B13,Bonde dos 13,"AC, PA",1,0,"Local faction originating from Acre. Allied with PCC in the inter-state prison network connecting AC, AP, and PA throughout 2022–2024: the 2024 edition states 'B13 and PCC are allies in the state' of Acre. Present in 5 AC municipalities (Assis Brasil, Brasiléia, Epitaciolândia, Rio Branco, Sena Madureira) in 2025."
2023,1200336,Acre,Mâncio Lima,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200344,Acre,Manoel Urbano,B13,Bonde dos 13,"AC, PA",1,0,"Local faction originating from Acre. Allied with PCC in the inter-state prison network connecting AC, AP, and PA throughout 2022–2024: the 2024 edition states 'B13 and PCC are allies in the state' of Acre. Present in 5 AC municipalities (Assis Brasil, Brasiléia, Epitaciolândia, Rio Branco, Sena Madureira) in 2025."
2023,1200351,Acre,Marechal Thaumaturgo,B13,Bonde dos 13,"AC, PA",1,0,"Local faction originating from Acre. Allied with PCC in the inter-state prison network connecting AC, AP, and PA throughout 2022–2024: the 2024 edition states 'B13 and PCC are allies in the state' of Acre. Present in 5 AC municipalities (Assis Brasil, Brasiléia, Epitaciolândia, Rio Branco, Sena Madureira) in 2025."
2023,1200351,Acre,Marechal Thaumaturgo,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200385,Acre,Plácido de Castro,Grupos Bolivianos,Grupos Bolivianos,AC,0,0,Umbrella term for Bolivian criminal groups operating in the AC-Bolivia border. Mentioned in Plácido de Castro. Autonomous transnational actors involved in cocaine transit.
2023,1200385,Acre,Plácido de Castro,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1200401,Acre,Rio Branco,B13,Bonde dos 13,"AC, PA",1,0,"Local faction originating from Acre. Allied with PCC in the inter-state prison network connecting AC, AP, and PA throughout 2022–2024: the 2024 edition states 'B13 and PCC are allies in the state' of Acre. Present in 5 AC municipalities (Assis Brasil, Brasiléia, Epitaciolândia, Rio Branco, Sena Madureira) in 2025."
2023,1200401,Acre,Rio Branco,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200401,Acre,Rio Branco,Deus Morte,Deus da Morte,AC,0,0,Appeared in the 2023 edition alongside PCC in two Acre municipalities: Feijó and Sena Madureira.
2023,1200401,Acre,Rio Branco,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1200427,Acre,Rodrigues Alves,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1200450,Acre,Senador Guiomard,B13,Bonde dos 13,"AC, PA",1,0,"Local faction originating from Acre. Allied with PCC in the inter-state prison network connecting AC, AP, and PA throughout 2022–2024: the 2024 edition states 'B13 and PCC are allies in the state' of Acre. Present in 5 AC municipalities (Assis Brasil, Brasiléia, Epitaciolândia, Rio Branco, Sena Madureira) in 2025."
2023,1200450,Acre,Senador Guiomard,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200450,Acre,Senador Guiomard,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1200500,Acre,Sena Madureira,Deus Morte,Deus da Morte,AC,0,0,Appeared in the 2023 edition alongside PCC in two Acre municipalities: Feijó and Sena Madureira.
2023,1200500,Acre,Sena Madureira,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1200609,Acre,Tarauacá,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200708,Acre,Xapuri,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1200807,Acre,Porto Acre,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1300060,Amazonas,Amaturá,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1300060,Amazonas,Amaturá,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1300201,Amazonas,Atalaia do Norte,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1300201,Amazonas,Atalaia do Norte,Os Crias,Os Crias,AM,1,0,Emerged in the Peru/Colombia/Brazil border region of Amazonas. Not listed in 2024 or 2025.
2023,1300201,Amazonas,Atalaia do Norte,PCC,Primeiro Comando da Capital,All BLA states,1,0,"National faction originating from São Paulo's prison system (founded 1993). Highly centralized hierarchy with leadership from SP/PR. Present in all 9 Amazonian states across all four editions. Detected in 90 municipalities in 2025, with hegemony in RO, RR, and TO prison systems. The PCC expanded aggressively into the Amazon after the 2016 rupture with CV, seeking control of cocaine transit routes from Peru, Colombia, and Bolivia."
2023,1300409,Amazonas,Barcelos,CV,Comando Vermelho,All BLA states,0,1,"National faction originating from Rio de Janeiro's prison system (founded late 1970s). Decentralized governance that preserves local leadership structures, facilitating alliances with regional groups. After the 2016 conflict with PCC, CV allied with FDN to access the Solimões drug route and expanded rapidly through the Amazon prison system. Hegemonic in PA (Belém metro), AC, AM, and MA. Detected in 286 municipalities in 2025, present in all 9 states."
2023,1300409,Amazonas,Barcelos,Os Crias,Os Crias,AM,1,0,Emerged in the Peru/Colombia/Brazil border region of Amazonas. Not listed in 2024 or 2025.
